code,name,site,city,country,floors,areaSqm
W-A02,W-A02,0169,OXAGON,Saudi Arabia,2,0
W-A03,W-A03,0169,OXAGON,Saudi Arabia,2,0
W-A04,W-A04,0169,OXAGON,Saudi Arabia,2,0
W-A05,W-A05,0169,OXAGON,Saudi Arabia,2,0
W-A06,W-A06,0169,OXAGON,Saudi Arabia,2,0
W-A07,W-A07,0169,OXAGON,Saudi Arabia,2,0
W-A08,W-A08,0169,OXAGON,Saudi Arabia,2,0
W-A09,W-A09,0169,OXAGON,Saudi Arabia,2,0
W-A10,W-A10,0169,OXAGON,Saudi Arabia,2,0
W-A11,W-A11,0169,OXAGON,Saudi Arabia,2,0
W-A12,W-A12,0169,OXAGON,Saudi Arabia,2,0
W-A13,W-A13,0169,OXAGON,Saudi Arabia,2,0
W-A14,W-A14,0169,OXAGON,Saudi Arabia,2,0
W-A15,W-A15,0169,OXAGON,Saudi Arabia,2,0
W-A16,W-A16,0169,OXAGON,Saudi Arabia,2,0
W-A17,W-A17,0169,OXAGON,Saudi Arabia,2,0
W-A20,W-A20,0169,OXAGON,Saudi Arabia,2,0
W-A21,W-A21,0169,OXAGON,Saudi Arabia,2,0
W-A22,W-A22,0169,OXAGON,Saudi Arabia,2,0
W-A23,W-A23,0169,OXAGON,Saudi Arabia,2,0
W-A24,W-A24,0169,OXAGON,Saudi Arabia,2,0
W-A25,W-A25,0169,OXAGON,Saudi Arabia,2,0
W-A26,W-A26,0169,OXAGON,Saudi Arabia,2,0
W-A27,W-A27,0169,OXAGON,Saudi Arabia,2,0
W-A28,W-A28,0169,OXAGON,Saudi Arabia,2,0
W-A29,W-A29,0169,OXAGON,Saudi Arabia,2,0
W-A30,W-A30,0169,OXAGON,Saudi Arabia,2,0
W-A31,W-A31,0169,OXAGON,Saudi Arabia,2,0
W-A32,W-A32,0169,OXAGON,Saudi Arabia,2,0
W-A33,W-A33,0169,OXAGON,Saudi Arabia,2,0
W-A34,W-A34,0169,OXAGON,Saudi Arabia,2,0
W-A35,W-A35,0169,OXAGON,Saudi Arabia,2,0
E-A01,E-A01,0169,OXAGON,Saudi Arabia,2,0
E-A02,E-A02,0169,OXAGON,Saudi Arabia,2,0
E-A03,E-A03,0169,OXAGON,Saudi Arabia,2,0
E-A04,E-A04,0169,OXAGON,Saudi Arabia,2,0
E-A05,E-A05,0169,OXAGON,Saudi Arabia,2,0
E-A06,E-A06,0169,OXAGON,Saudi Arabia,2,0
E-A07,E-A07,0169,OXAGON,Saudi Arabia,2,0
E-A18,E-A18,0169,OXAGON,Saudi Arabia,2,0
W-B01,W-B01,0169,OXAGON,Saudi Arabia,2,0
W-B02,W-B02,0169,OXAGON,Saudi Arabia,2,0
W-B03,W-B03,0169,OXAGON,Saudi Arabia,2,0
W-B04,W-B04,0169,OXAGON,Saudi Arabia,2,0
W-B05,W-B05,0169,OXAGON,Saudi Arabia,2,0
W-B06,W-B06,0169,OXAGON,Saudi Arabia,2,0
W-B07,W-B07,0169,OXAGON,Saudi Arabia,2,0
W-B08,W-B08,0169,OXAGON,Saudi Arabia,2,0
W-B09,W-B09,0169,OXAGON,Saudi Arabia,2,0
W-B10,W-B10,0169,OXAGON,Saudi Arabia,2,0
W-B11,W-B11,0169,OXAGON,Saudi Arabia,2,0
W-B12,W-B12,0169,OXAGON,Saudi Arabia,2,0
W-B13,W-B13,0169,OXAGON,Saudi Arabia,2,0
W-B14,W-B14,0169,OXAGON,Saudi Arabia,2,0
W-B15,W-B15,0169,OXAGON,Saudi Arabia,2,0
W-B16,W-B16,0169,OXAGON,Saudi Arabia,2,0
W-B17,W-B17,0169,OXAGON,Saudi Arabia,2,0
W-B18,W-B18,0169,OXAGON,Saudi Arabia,2,0
W-B19,W-B19,0169,OXAGON,Saudi Arabia,2,0
W-B20,W-B20,0169,OXAGON,Saudi Arabia,2,0
W-B21,W-B21,0169,OXAGON,Saudi Arabia,2,0
W-B22,W-B22,0169,OXAGON,Saudi Arabia,2,0
W-B23,W-B23,0169,OXAGON,Saudi Arabia,2,0
W-B24,W-B24,0169,OXAGON,Saudi Arabia,2,0
