code,site,zone,building,floor,room,type,parentLocation,locationClass,residential,description
0169,0169,TOP LEVEL,,,,Housing Site,TOP LEVEL,Housing Site,YES,Site 0169
0169-WEST,0169,0169,,,,Housing Region,0169,Housing Region,YES,WEST Region
0169-WEST-W-A02,0169,0169-WEST,W-A02,,,Housing Building,0169-WEST,Housing Building,YES,W-A02
0169-WEST-W-A02-GF,0169,0169-WEST-W-A02,W-A02,GF,,Housing Floor,0169-WEST-W-A02,Housing Floor,YES,W-A02 GF
0169-WEST-W-A02-GF-01,0169,0169-WEST-W-A02-GF,W-A02,GF,01,Housing Room,0169-WEST-W-A02-GF,Housing Room,YES,W-A02 GF Room 01
0169-WEST-W-A02-GF-02,0169,0169-WEST-W-A02-GF,W-A02,GF,02,Housing Room,0169-WEST-W-A02-GF,Housing Room,YES,W-A02 GF Room 02
0169-WEST-W-A02-GF-03,0169,0169-WEST-W-A02-GF,W-A02,GF,03,Housing Room,0169-WEST-W-A02-GF,Housing Room,YES,W-A02 GF Room 03
0169-WEST-W-A02-GF-04,0169,0169-WEST-W-A02-GF,W-A02,GF,04,Housing Room,0169-WEST-W-A02-GF,Housing Room,YES,W-A02 GF Room 04
0169-WEST-W-A02-GF-05,0169,0169-WEST-W-A02-GF,W-A02,GF,05,Housing Room,0169-WEST-W-A02-GF,Housing Room,YES,W-A02 GF Room 05
0169-WEST-W-A02-GF-06,0169,0169-WEST-W-A02-GF,W-A02,GF,06,Housing Room,0169-WEST-W-A02-GF,Housing Room,YES,W-A02 GF Room 06
0169-WEST-W-A02-FF,0169,0169-WEST-W-A02,W-A02,FF,,Housing Floor,0169-WEST-W-A02,Housing Floor,YES,W-A02 FF
0169-WEST-W-A02-FF-01,0169,0169-WEST-W-A02-FF,W-A02,FF,01,Housing Room,0169-WEST-W-A02-FF,Housing Room,YES,W-A02 FF Room 01
0169-WEST-W-A02-FF-02,0169,0169-WEST-W-A02-FF,W-A02,FF,02,Housing Room,0169-WEST-W-A02-FF,Housing Room,YES,W-A02 FF Room 02
0169-WEST-W-A02-FF-03,0169,0169-WEST-W-A02-FF,W-A02,FF,03,Housing Room,0169-WEST-W-A02-FF,Housing Room,YES,W-A02 FF Room 03
0169-WEST-W-A02-FF-04,0169,0169-WEST-W-A02-FF,W-A02,FF,04,Housing Room,0169-WEST-W-A02-FF,Housing Room,YES,W-A02 FF Room 04
0169-WEST-W-A02-FF-05,0169,0169-WEST-W-A02-FF,W-A02,FF,05,Housing Room,0169-WEST-W-A02-FF,Housing Room,YES,W-A02 FF Room 05
0169-WEST-W-A02-FF-06,0169,0169-WEST-W-A02-FF,W-A02,FF,06,Housing Room,0169-WEST-W-A02-FF,Housing Room,YES,W-A02 FF Room 06
0169-WEST-W-A03,0169,0169-WEST,W-A03,,,Housing Building,0169-WEST,Housing Building,YES,W-A03
0169-WEST-W-A03-GF,0169,0169-WEST-W-A03,W-A03,GF,,Housing Floor,0169-WEST-W-A03,Housing Floor,YES,W-A03 GF
0169-WEST-W-A03-GF-01,0169,0169-WEST-W-A03-GF,W-A03,GF,01,Housing Room,0169-WEST-W-A03-GF,Housing Room,YES,W-A03 GF Room 01
0169-WEST-W-A03-GF-02,0169,0169-WEST-W-A03-GF,W-A03,GF,02,Housing Room,0169-WEST-W-A03-GF,Housing Room,YES,W-A03 GF Room 02
0169-WEST-W-A03-GF-03,0169,0169-WEST-W-A03-GF,W-A03,GF,03,Housing Room,0169-WEST-W-A03-GF,Housing Room,YES,W-A03 GF Room 03
0169-WEST-W-A03-GF-04,0169,0169-WEST-W-A03-GF,W-A03,GF,04,Housing Room,0169-WEST-W-A03-GF,Housing Room,YES,W-A03 GF Room 04
0169-WEST-W-A03-GF-05,0169,0169-WEST-W-A03-GF,W-A03,GF,05,Housing Room,0169-WEST-W-A03-GF,Housing Room,YES,W-A03 GF Room 05
0169-WEST-W-A03-GF-06,0169,0169-WEST-W-A03-GF,W-A03,GF,06,Housing Room,0169-WEST-W-A03-GF,Housing Room,YES,W-A03 GF Room 06
0169-WEST-W-A03-FF,0169,0169-WEST-W-A03,W-A03,FF,,Housing Floor,0169-WEST-W-A03,Housing Floor,YES,W-A03 FF
0169-WEST-W-A03-FF-01,0169,0169-WEST-W-A03-FF,W-A03,FF,01,Housing Room,0169-WEST-W-A03-FF,Housing Room,YES,W-A03 FF Room 01
0169-WEST-W-A03-FF-02,0169,0169-WEST-W-A03-FF,W-A03,FF,02,Housing Room,0169-WEST-W-A03-FF,Housing Room,YES,W-A03 FF Room 02
0169-WEST-W-A03-FF-03,0169,0169-WEST-W-A03-FF,W-A03,FF,03,Housing Room,0169-WEST-W-A03-FF,Housing Room,YES,W-A03 FF Room 03
0169-WEST-W-A03-FF-04,0169,0169-WEST-W-A03-FF,W-A03,FF,04,Housing Room,0169-WEST-W-A03-FF,Housing Room,YES,W-A03 FF Room 04
0169-WEST-W-A03-FF-05,0169,0169-WEST-W-A03-FF,W-A03,FF,05,Housing Room,0169-WEST-W-A03-FF,Housing Room,YES,W-A03 FF Room 05
0169-WEST-W-A03-FF-06,0169,0169-WEST-W-A03-FF,W-A03,FF,06,Housing Room,0169-WEST-W-A03-FF,Housing Room,YES,W-A03 FF Room 06
0169-WEST-W-A04,0169,0169-WEST,W-A04,,,Housing Building,0169-WEST,Housing Building,YES,W-A04
0169-WEST-W-A04-GF,0169,0169-WEST-W-A04,W-A04,GF,,Housing Floor,0169-WEST-W-A04,Housing Floor,YES,W-A04 GF
0169-WEST-W-A04-GF-01,0169,0169-WEST-W-A04-GF,W-A04,GF,01,Housing Room,0169-WEST-W-A04-GF,Housing Room,YES,W-A04 GF Room 01
0169-WEST-W-A04-GF-02,0169,0169-WEST-W-A04-GF,W-A04,GF,02,Housing Room,0169-WEST-W-A04-GF,Housing Room,YES,W-A04 GF Room 02
0169-WEST-W-A04-GF-03,0169,0169-WEST-W-A04-GF,W-A04,GF,03,Housing Room,0169-WEST-W-A04-GF,Housing Room,YES,W-A04 GF Room 03
0169-WEST-W-A04-GF-04,0169,0169-WEST-W-A04-GF,W-A04,GF,04,Housing Room,0169-WEST-W-A04-GF,Housing Room,YES,W-A04 GF Room 04
0169-WEST-W-A04-GF-05,0169,0169-WEST-W-A04-GF,W-A04,GF,05,Housing Room,0169-WEST-W-A04-GF,Housing Room,YES,W-A04 GF Room 05
0169-WEST-W-A04-GF-06,0169,0169-WEST-W-A04-GF,W-A04,GF,06,Housing Room,0169-WEST-W-A04-GF,Housing Room,YES,W-A04 GF Room 06
0169-WEST-W-A04-FF,0169,0169-WEST-W-A04,W-A04,FF,,Housing Floor,0169-WEST-W-A04,Housing Floor,YES,W-A04 FF
0169-WEST-W-A04-FF-01,0169,0169-WEST-W-A04-FF,W-A04,FF,01,Housing Room,0169-WEST-W-A04-FF,Housing Room,YES,W-A04 FF Room 01
0169-WEST-W-A04-FF-02,0169,0169-WEST-W-A04-FF,W-A04,FF,02,Housing Room,0169-WEST-W-A04-FF,Housing Room,YES,W-A04 FF Room 02
0169-WEST-W-A04-FF-03,0169,0169-WEST-W-A04-FF,W-A04,FF,03,Housing Room,0169-WEST-W-A04-FF,Housing Room,YES,W-A04 FF Room 03
0169-WEST-W-A04-FF-04,0169,0169-WEST-W-A04-FF,W-A04,FF,04,Housing Room,0169-WEST-W-A04-FF,Housing Room,YES,W-A04 FF Room 04
0169-WEST-W-A04-FF-05,0169,0169-WEST-W-A04-FF,W-A04,FF,05,Housing Room,0169-WEST-W-A04-FF,Housing Room,YES,W-A04 FF Room 05
0169-WEST-W-A04-FF-06,0169,0169-WEST-W-A04-FF,W-A04,FF,06,Housing Room,0169-WEST-W-A04-FF,Housing Room,YES,W-A04 FF Room 06
0169-WEST-W-A05,0169,0169-WEST,W-A05,,,Housing Building,0169-WEST,Housing Building,YES,W-A05
0169-WEST-W-A05-GF,0169,0169-WEST-W-A05,W-A05,GF,,Housing Floor,0169-WEST-W-A05,Housing Floor,YES,W-A05 GF
0169-WEST-W-A05-GF-01,0169,0169-WEST-W-A05-GF,W-A05,GF,01,Housing Room,0169-WEST-W-A05-GF,Housing Room,YES,W-A05 GF Room 01
0169-WEST-W-A05-GF-02,0169,0169-WEST-W-A05-GF,W-A05,GF,02,Housing Room,0169-WEST-W-A05-GF,Housing Room,YES,W-A05 GF Room 02
0169-WEST-W-A05-GF-03,0169,0169-WEST-W-A05-GF,W-A05,GF,03,Housing Room,0169-WEST-W-A05-GF,Housing Room,YES,W-A05 GF Room 03
0169-WEST-W-A05-GF-04,0169,0169-WEST-W-A05-GF,W-A05,GF,04,Housing Room,0169-WEST-W-A05-GF,Housing Room,YES,W-A05 GF Room 04
0169-WEST-W-A05-GF-05,0169,0169-WEST-W-A05-GF,W-A05,GF,05,Housing Room,0169-WEST-W-A05-GF,Housing Room,YES,W-A05 GF Room 05
0169-WEST-W-A05-GF-06,0169,0169-WEST-W-A05-GF,W-A05,GF,06,Housing Room,0169-WEST-W-A05-GF,Housing Room,YES,W-A05 GF Room 06
0169-WEST-W-A05-FF,0169,0169-WEST-W-A05,W-A05,FF,,Housing Floor,0169-WEST-W-A05,Housing Floor,YES,W-A05 FF
0169-WEST-W-A05-FF-01,0169,0169-WEST-W-A05-FF,W-A05,FF,01,Housing Room,0169-WEST-W-A05-FF,Housing Room,YES,W-A05 FF Room 01
0169-WEST-W-A05-FF-02,0169,0169-WEST-W-A05-FF,W-A05,FF,02,Housing Room,0169-WEST-W-A05-FF,Housing Room,YES,W-A05 FF Room 02
0169-WEST-W-A05-FF-03,0169,0169-WEST-W-A05-FF,W-A05,FF,03,Housing Room,0169-WEST-W-A05-FF,Housing Room,YES,W-A05 FF Room 03
0169-WEST-W-A05-FF-04,0169,0169-WEST-W-A05-FF,W-A05,FF,04,Housing Room,0169-WEST-W-A05-FF,Housing Room,YES,W-A05 FF Room 04
0169-WEST-W-A05-FF-05,0169,0169-WEST-W-A05-FF,W-A05,FF,05,Housing Room,0169-WEST-W-A05-FF,Housing Room,YES,W-A05 FF Room 05
0169-WEST-W-A05-FF-06,0169,0169-WEST-W-A05-FF,W-A05,FF,06,Housing Room,0169-WEST-W-A05-FF,Housing Room,YES,W-A05 FF Room 06
0169-WEST-W-A06,0169,0169-WEST,W-A06,,,Housing Building,0169-WEST,Housing Building,YES,W-A06
0169-WEST-W-A06-GF,0169,0169-WEST-W-A06,W-A06,GF,,Housing Floor,0169-WEST-W-A06,Housing Floor,YES,W-A06 GF
0169-WEST-W-A06-GF-01,0169,0169-WEST-W-A06-GF,W-A06,GF,01,Housing Room,0169-WEST-W-A06-GF,Housing Room,YES,W-A06 GF Room 01
0169-WEST-W-A06-GF-02,0169,0169-WEST-W-A06-GF,W-A06,GF,02,Housing Room,0169-WEST-W-A06-GF,Housing Room,YES,W-A06 GF Room 02
0169-WEST-W-A06-GF-03,0169,0169-WEST-W-A06-GF,W-A06,GF,03,Housing Room,0169-WEST-W-A06-GF,Housing Room,YES,W-A06 GF Room 03
0169-WEST-W-A06-GF-04,0169,0169-WEST-W-A06-GF,W-A06,GF,04,Housing Room,0169-WEST-W-A06-GF,Housing Room,YES,W-A06 GF Room 04
0169-WEST-W-A06-GF-05,0169,0169-WEST-W-A06-GF,W-A06,GF,05,Housing Room,0169-WEST-W-A06-GF,Housing Room,YES,W-A06 GF Room 05
0169-WEST-W-A06-GF-06,0169,0169-WEST-W-A06-GF,W-A06,GF,06,Housing Room,0169-WEST-W-A06-GF,Housing Room,YES,W-A06 GF Room 06
0169-WEST-W-A06-FF,0169,0169-WEST-W-A06,W-A06,FF,,Housing Floor,0169-WEST-W-A06,Housing Floor,YES,W-A06 FF
0169-WEST-W-A06-FF-01,0169,0169-WEST-W-A06-FF,W-A06,FF,01,Housing Room,0169-WEST-W-A06-FF,Housing Room,YES,W-A06 FF Room 01
0169-WEST-W-A06-FF-02,0169,0169-WEST-W-A06-FF,W-A06,FF,02,Housing Room,0169-WEST-W-A06-FF,Housing Room,YES,W-A06 FF Room 02
0169-WEST-W-A06-FF-03,0169,0169-WEST-W-A06-FF,W-A06,FF,03,Housing Room,0169-WEST-W-A06-FF,Housing Room,YES,W-A06 FF Room 03
0169-WEST-W-A06-FF-04,0169,0169-WEST-W-A06-FF,W-A06,FF,04,Housing Room,0169-WEST-W-A06-FF,Housing Room,YES,W-A06 FF Room 04
0169-WEST-W-A06-FF-05,0169,0169-WEST-W-A06-FF,W-A06,FF,05,Housing Room,0169-WEST-W-A06-FF,Housing Room,YES,W-A06 FF Room 05
0169-WEST-W-A06-FF-06,0169,0169-WEST-W-A06-FF,W-A06,FF,06,Housing Room,0169-WEST-W-A06-FF,Housing Room,YES,W-A06 FF Room 06
0169-WEST-W-A07,0169,0169-WEST,W-A07,,,Housing Building,0169-WEST,Housing Building,YES,W-A07
0169-WEST-W-A07-GF,0169,0169-WEST-W-A07,W-A07,GF,,Housing Floor,0169-WEST-W-A07,Housing Floor,YES,W-A07 GF
0169-WEST-W-A07-GF-01,0169,0169-WEST-W-A07-GF,W-A07,GF,01,Housing Room,0169-WEST-W-A07-GF,Housing Room,YES,W-A07 GF Room 01
0169-WEST-W-A07-GF-02,0169,0169-WEST-W-A07-GF,W-A07,GF,02,Housing Room,0169-WEST-W-A07-GF,Housing Room,YES,W-A07 GF Room 02
0169-WEST-W-A07-GF-03,0169,0169-WEST-W-A07-GF,W-A07,GF,03,Housing Room,0169-WEST-W-A07-GF,Housing Room,YES,W-A07 GF Room 03
0169-WEST-W-A07-GF-04,0169,0169-WEST-W-A07-GF,W-A07,GF,04,Housing Room,0169-WEST-W-A07-GF,Housing Room,YES,W-A07 GF Room 04
0169-WEST-W-A07-GF-05,0169,0169-WEST-W-A07-GF,W-A07,GF,05,Housing Room,0169-WEST-W-A07-GF,Housing Room,YES,W-A07 GF Room 05
0169-WEST-W-A07-GF-06,0169,0169-WEST-W-A07-GF,W-A07,GF,06,Housing Room,0169-WEST-W-A07-GF,Housing Room,YES,W-A07 GF Room 06
0169-WEST-W-A07-FF,0169,0169-WEST-W-A07,W-A07,FF,,Housing Floor,0169-WEST-W-A07,Housing Floor,YES,W-A07 FF
0169-WEST-W-A07-FF-01,0169,0169-WEST-W-A07-FF,W-A07,FF,01,Housing Room,0169-WEST-W-A07-FF,Housing Room,YES,W-A07 FF Room 01
0169-WEST-W-A07-FF-02,0169,0169-WEST-W-A07-FF,W-A07,FF,02,Housing Room,0169-WEST-W-A07-FF,Housing Room,YES,W-A07 FF Room 02
0169-WEST-W-A07-FF-03,0169,0169-WEST-W-A07-FF,W-A07,FF,03,Housing Room,0169-WEST-W-A07-FF,Housing Room,YES,W-A07 FF Room 03
0169-WEST-W-A07-FF-04,0169,0169-WEST-W-A07-FF,W-A07,FF,04,Housing Room,0169-WEST-W-A07-FF,Housing Room,YES,W-A07 FF Room 04
0169-WEST-W-A07-FF-05,0169,0169-WEST-W-A07-FF,W-A07,FF,05,Housing Room,0169-WEST-W-A07-FF,Housing Room,YES,W-A07 FF Room 05
0169-WEST-W-A07-FF-06,0169,0169-WEST-W-A07-FF,W-A07,FF,06,Housing Room,0169-WEST-W-A07-FF,Housing Room,YES,W-A07 FF Room 06
0169-WEST-W-A08,0169,0169-WEST,W-A08,,,Housing Building,0169-WEST,Housing Building,YES,W-A08
0169-WEST-W-A08-GF,0169,0169-WEST-W-A08,W-A08,GF,,Housing Floor,0169-WEST-W-A08,Housing Floor,YES,W-A08 GF
0169-WEST-W-A08-GF-01,0169,0169-WEST-W-A08-GF,W-A08,GF,01,Housing Room,0169-WEST-W-A08-GF,Housing Room,YES,W-A08 GF Room 01
0169-WEST-W-A08-GF-02,0169,0169-WEST-W-A08-GF,W-A08,GF,02,Housing Room,0169-WEST-W-A08-GF,Housing Room,YES,W-A08 GF Room 02
0169-WEST-W-A08-GF-03,0169,0169-WEST-W-A08-GF,W-A08,GF,03,Housing Room,0169-WEST-W-A08-GF,Housing Room,YES,W-A08 GF Room 03
0169-WEST-W-A08-GF-04,0169,0169-WEST-W-A08-GF,W-A08,GF,04,Housing Room,0169-WEST-W-A08-GF,Housing Room,YES,W-A08 GF Room 04
0169-WEST-W-A08-GF-05,0169,0169-WEST-W-A08-GF,W-A08,GF,05,Housing Room,0169-WEST-W-A08-GF,Housing Room,YES,W-A08 GF Room 05
0169-WEST-W-A08-GF-06,0169,0169-WEST-W-A08-GF,W-A08,GF,06,Housing Room,0169-WEST-W-A08-GF,Housing Room,YES,W-A08 GF Room 06
0169-WEST-W-A08-FF,0169,0169-WEST-W-A08,W-A08,FF,,Housing Floor,0169-WEST-W-A08,Housing Floor,YES,W-A08 FF
0169-WEST-W-A08-FF-01,0169,0169-WEST-W-A08-FF,W-A08,FF,01,Housing Room,0169-WEST-W-A08-FF,Housing Room,YES,W-A08 FF Room 01
0169-WEST-W-A08-FF-02,0169,0169-WEST-W-A08-FF,W-A08,FF,02,Housing Room,0169-WEST-W-A08-FF,Housing Room,YES,W-A08 FF Room 02
0169-WEST-W-A08-FF-03,0169,0169-WEST-W-A08-FF,W-A08,FF,03,Housing Room,0169-WEST-W-A08-FF,Housing Room,YES,W-A08 FF Room 03
0169-WEST-W-A08-FF-04,0169,0169-WEST-W-A08-FF,W-A08,FF,04,Housing Room,0169-WEST-W-A08-FF,Housing Room,YES,W-A08 FF Room 04
0169-WEST-W-A08-FF-05,0169,0169-WEST-W-A08-FF,W-A08,FF,05,Housing Room,0169-WEST-W-A08-FF,Housing Room,YES,W-A08 FF Room 05
0169-WEST-W-A08-FF-06,0169,0169-WEST-W-A08-FF,W-A08,FF,06,Housing Room,0169-WEST-W-A08-FF,Housing Room,YES,W-A08 FF Room 06
0169-WEST-W-A09,0169,0169-WEST,W-A09,,,Housing Building,0169-WEST,Housing Building,YES,W-A09
0169-WEST-W-A09-GF,0169,0169-WEST-W-A09,W-A09,GF,,Housing Floor,0169-WEST-W-A09,Housing Floor,YES,W-A09 GF
0169-WEST-W-A09-GF-01,0169,0169-WEST-W-A09-GF,W-A09,GF,01,Housing Room,0169-WEST-W-A09-GF,Housing Room,YES,W-A09 GF Room 01
0169-WEST-W-A09-GF-02,0169,0169-WEST-W-A09-GF,W-A09,GF,02,Housing Room,0169-WEST-W-A09-GF,Housing Room,YES,W-A09 GF Room 02
0169-WEST-W-A09-GF-03,0169,0169-WEST-W-A09-GF,W-A09,GF,03,Housing Room,0169-WEST-W-A09-GF,Housing Room,YES,W-A09 GF Room 03
0169-WEST-W-A09-GF-04,0169,0169-WEST-W-A09-GF,W-A09,GF,04,Housing Room,0169-WEST-W-A09-GF,Housing Room,YES,W-A09 GF Room 04
0169-WEST-W-A09-GF-05,0169,0169-WEST-W-A09-GF,W-A09,GF,05,Housing Room,0169-WEST-W-A09-GF,Housing Room,YES,W-A09 GF Room 05
0169-WEST-W-A09-GF-06,0169,0169-WEST-W-A09-GF,W-A09,GF,06,Housing Room,0169-WEST-W-A09-GF,Housing Room,YES,W-A09 GF Room 06
