code,name,site,city,country,buildingCode,floor,type,capacity,areaSqm,occupancy
0169-WEST-W-A02-GF-01,Room 01,0169,OXAGON,Saudi Arabia,W-A02,GF,Housing Room Type A,0,0,0
0169-WEST-W-A02-GF-02,Room 02,0169,OXAGON,Saudi Arabia,W-A02,GF,Housing Room Type A,0,0,0
0169-WEST-W-A02-GF-03,Room 03,0169,OXAGON,Saudi Arabia,W-A02,GF,Housing Room Type A,0,0,0
0169-WEST-W-A02-GF-04,Room 04,0169,OXAGON,Saudi Arabia,W-A02,GF,Housing Room Type A,0,0,0
0169-WEST-W-A02-GF-05,Room 05,0169,OXAGON,Saudi Arabia,W-A02,GF,Housing Room Type A,0,0,0
0169-WEST-W-A02-GF-06,Room 06,0169,OXAGON,Saudi Arabia,W-A02,GF,Housing Room Type A,0,0,0
0169-WEST-W-A02-FF-01,Room 01,0169,OXAGON,Saudi Arabia,W-A02,FF,Housing Room Type A,0,0,0
0169-WEST-W-A02-FF-02,Room 02,0169,OXAGON,Saudi Arabia,W-A02,FF,Housing Room Type A,0,0,0
0169-WEST-W-A02-FF-03,Room 03,0169,OXAGON,Saudi Arabia,W-A02,FF,Housing Room Type A,0,0,0
0169-WEST-W-A02-FF-04,Room 04,0169,OXAGON,Saudi Arabia,W-A02,FF,Housing Room Type A,0,0,0
0169-WEST-W-A02-FF-05,Room 05,0169,OXAGON,Saudi Arabia,W-A02,FF,Housing Room Type A,0,0,0
0169-WEST-W-A02-FF-06,Room 06,0169,OXAGON,Saudi Arabia,W-A02,FF,Housing Room Type A,0,0,0
0169-WEST-W-A03-GF-01,Room 01,0169,OXAGON,Saudi Arabia,W-A03,GF,Housing Room Type A,0,0,0
0169-WEST-W-A03-GF-02,Room 02,0169,OXAGON,Saudi Arabia,W-A03,GF,Housing Room Type A,0,0,0
0169-WEST-W-A03-GF-03,Room 03,0169,OXAGON,Saudi Arabia,W-A03,GF,Housing Room Type A,0,0,0
0169-WEST-W-A03-GF-04,Room 04,0169,OXAGON,Saudi Arabia,W-A03,GF,Housing Room Type A,0,0,0
0169-WEST-W-A03-GF-05,Room 05,0169,OXAGON,Saudi Arabia,W-A03,GF,Housing Room Type A,0,0,0
0169-WEST-W-A03-GF-06,Room 06,0169,OXAGON,Saudi Arabia,W-A03,GF,Housing Room Type A,0,0,0
0169-WEST-W-A03-FF-01,Room 01,0169,OXAGON,Saudi Arabia,W-A03,FF,Housing Room Type A,0,0,0
0169-WEST-W-A03-FF-02,Room 02,0169,OXAGON,Saudi Arabia,W-A03,FF,Housing Room Type A,0,0,0
